index	identifier	sum_stat	mark	detail	target	assay	feature_names
1603	ENCFF589BOI	mean	CHIP	FUS:K562	FUS	TF ChIP-seq	f_1603
1604	ENCFF500LDJ	mean	CHIP	H3K4me1:middle frontal area 46 male adult (81 year)	H3K4me1	Histone ChIP-seq	f_1604
1605	ENCFF322YEU	mean	CHIP	NFATC3:K562	NFATC3	TF ChIP-seq	f_1605
1606	ENCFF786NJZ	mean	CHIP	H3K79me2:B cell female adult (27 years)	H3K79me2	Histone ChIP-seq	f_1606
1607	ENCFF521VPM	mean	CHIP	PCBP1:K562	PCBP1	TF ChIP-seq	f_1607
1608	ENCFF981FNN	mean	CHIP	H3K4me3:DOHH2	H3K4me3	Histone ChIP-seq	f_1608
1609	ENCFF244ONW	mean	CHIP	H3K9me3:adrenal gland male adult (37 years)	H3K9me3	Histone ChIP-seq	f_1609
1610	ENCFF627OFU	mean	CHIP	H3K27ac:urinary bladder male adult (34 years)	H3K27ac	Histone ChIP-seq	f_1610
1611	ENCFF771KZZ	mean	CHIP	3xFLAG-RAD21:HepG2 genetically modified using CRISPR	3xFLAG-RAD21	TF ChIP-seq	f_1611
1612	ENCFF575ZQY	mean	CHIP	H2BK20ac:IMR-90	H2BK20ac	Histone ChIP-seq	f_1612
1613	ENCFF029WKN	mean	CHIP	H3K4me1:muscle layer of duodenum male adult (73 years)	H3K4me1	Histone ChIP-seq	f_1613
1614	ENCFF530IRV	mean	CHIP	H3K36me3:mucosa of rectum female adult (61 year)	H3K36me3	Histone ChIP-seq	f_1614
1615	ENCFF458VHN	mean	CHIP	POLR2A:body of pancreas male adult (37 years)	POLR2A	TF ChIP-seq	f_1615
1616	ENCFF224YHG	mean	CHIP	H3K9me3:IMR-90	H3K9me3	Histone ChIP-seq	f_1616
1617	ENCFF058NKU	mean	CHIP	H3K9ac:MCF-7	H3K9ac	Histone ChIP-seq	f_1617
1618	ENCFF726VVG	mean	CHIP	H3K27me3:esophagus squamous epithelium female adult (53 years)	H3K27me3	Histone ChIP-seq	f_1618
1619	ENCFF605ROH	mean	CHIP	H3K14ac:H1-hESC	H3K14ac	Histone ChIP-seq	f_1619
1620	ENCFF003DXG	mean	CHIP	H3K4me3:GM12878	H3K4me3	Histone ChIP-seq	f_1620
1621	ENCFF368UUK	mean	CHIP	H2AFZ:MCF-7	H2AFZ	Histone ChIP-seq	f_1621
1622	ENCFF797WZE	mean	CHIP	H3K4me3:angular gyrus female adult (75 years)	H3K4me3	Histone ChIP-seq	f_1622
1623	ENCFF949PZX	mean	CHIP	H3K9me3:muscle layer of duodenum male adult (59 years)	H3K9me3	Histone ChIP-seq	f_1623
1624	ENCFF242BZH	mean	CHIP	H3K9me3:esophagus squamous epithelium female adult (53 years)	H3K9me3	Histone ChIP-seq	f_1624
1625	ENCFF605JJH	mean	CHIP	H3K9ac:substantia nigra female adult (75 years)	H3K9ac	Histone ChIP-seq	f_1625
1626	ENCFF981CZJ	mean	CHIP	H3K27me3:neutrophil	H3K27me3	Histone ChIP-seq	f_1626
1627	ENCFF014VAP	mean	CHIP	H3K9ac:Karpas-422	H3K9ac	Histone ChIP-seq	f_1627
1628	ENCFF556MMP	mean	CHIP	H3K27ac:ACC112	H3K27ac	Histone ChIP-seq	f_1628
1629	ENCFF583VZK	mean	CHIP	H3K4me1:OCI-LY7	H3K4me1	Histone ChIP-seq	f_1629
1630	ENCFF293HQH	mean	CHIP	H3K36me3:common myeloid progenitor, CD34-positive male adult (42 years)	H3K36me3	Histone ChIP-seq	f_1630
1631	ENCFF067WTK	mean	CHIP	NANOG:GM23338 male adult (53 years) originated from GM23248	NANOG	TF ChIP-seq	f_1631
1632	ENCFF718SOR	mean	CHIP	H3K9ac:endocrine pancreas male adult (46 years)	H3K9ac	Histone ChIP-seq	f_1632
1633	ENCFF574SCO	mean	CHIP	H3K27me3:duodenal mucosa male adult (59 years)	H3K27me3	Histone ChIP-seq	f_1633
1634	ENCFF121SET	mean	CHIP	HSF1:MCF-7	HSF1	TF ChIP-seq	f_1634
1635	ENCFF325LPL	mean	CHIP	H3K23me2:H9	H3K23me2	Histone ChIP-seq	f_1635
1636	ENCFF818IGJ	mean	CHIP	H3K4me1:thyroid gland female adult (53 years)	H3K4me1	Histone ChIP-seq	f_1636
1637	ENCFF827BUN	mean	CHIP	RFX5:A549	RFX5	TF ChIP-seq	f_1637
1638	ENCFF847IWJ	mean	CHIP	H3K4me1:germinal matrix male embryo (20 weeks)	H3K4me1	Histone ChIP-seq	f_1638
1639	ENCFF678FKJ	mean	CHIP	H3K4me1:mesenchymal stem cell originated from H1-hESC	H3K4me1	Histone ChIP-seq	f_1639
1640	ENCFF055YXU	mean	CHIP	H3K4me1:urinary bladder male adult (34 years)	H3K4me1	Histone ChIP-seq	f_1640
1641	ENCFF085LTS	mean	CHIP	eGFP-KLF17:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-KLF17	TF ChIP-seq	f_1641
1642	ENCFF653DDA	mean	CHIP	CHAMP1:K562	CHAMP1	TF ChIP-seq	f_1642
1643	ENCFF383WLC	mean	CHIP	H3K9me3:aorta male adult (34 years)	H3K9me3	Histone ChIP-seq	f_1643
1644	ENCFF596ZSJ	mean	CHIP	CTCF:bipolar neuron originated from GM23338 treated with 0.5 ug/mL doxycycline hyclate for 4 days	CTCF	TF ChIP-seq	f_1644
1645	ENCFF348LLH	mean	CHIP	FOXA2:HepG2	FOXA2	TF ChIP-seq	f_1645
1646	ENCFF793QFH	mean	CHIP	HNRNPH1:HepG2	HNRNPH1	TF ChIP-seq	f_1646
1647	ENCFF751QZF	mean	CHIP	CTCF:right atrium auricular region female adult (53 years)	CTCF	TF ChIP-seq	f_1647
1648	ENCFF626DKO	mean	CHIP	H3K27ac:placental basal plate male embryo (38 weeks)	H3K27ac	Histone ChIP-seq	f_1648
1649	ENCFF534CCF	mean	CHIP	RFX1:MCF-7	RFX1	TF ChIP-seq	f_1649
1650	ENCFF601KKI	mean	CHIP	H3K4me1:lung female embryo (82 days)	H3K4me1	Histone ChIP-seq	f_1650
1651	ENCFF469RQU	mean	CHIP	H3K36me3:iPS DF 19.11 male newborn	H3K36me3	Histone ChIP-seq	f_1651
1652	ENCFF866DHV	mean	CHIP	CHD2:A549	CHD2	TF ChIP-seq	f_1652
1653	ENCFF893NOP	mean	CHIP	H3K27me3:heart right ventricle male adult (34 years)	H3K27me3	Histone ChIP-seq	f_1653
1654	ENCFF977JAS	mean	CHIP	MCM7:K562	MCM7	TF ChIP-seq	f_1654
1655	ENCFF310WCC	mean	CHIP	POLR2A:upper lobe of left lung female adult (53 years)	POLR2A	TF ChIP-seq	f_1655
1656	ENCFF898WWB	mean	CHIP	EZH2:neural progenitor cell originated from H9	EZH2	TF ChIP-seq	f_1656
1657	ENCFF604LTF	mean	CHIP	H3K27ac:transverse colon male adult (54 years)	H3K27ac	Histone ChIP-seq	f_1657
1658	ENCFF291BYX	mean	CHIP	H3K9me3:cingulate gyrus female adult (75 years)	H3K9me3	Histone ChIP-seq	f_1658
1659	ENCFF651IGX	mean	CHIP	H3K27ac:ascending aorta female adult (53 years)	H3K27ac	Histone ChIP-seq	f_1659
1660	ENCFF621RES	mean	CHIP	H3K9me3:cingulate gyrus male adult (81 year)	H3K9me3	Histone ChIP-seq	f_1660
1661	ENCFF978QZR	mean	CHIP	eGFP-ZNF768:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF768	TF ChIP-seq	f_1661
1662	ENCFF863VDR	mean	CHIP	CTCF:gastrocnemius medialis female adult (51 year)	CTCF	TF ChIP-seq	f_1662
1663	ENCFF583TMU	mean	CHIP	3xFLAG-KMT2B:HepG2 genetically modified using CRISPR	3xFLAG-KMT2B	TF ChIP-seq	f_1663
1664	ENCFF910GAU	mean	CHIP	CTCF:OCI-LY1	CTCF	TF ChIP-seq	f_1664
1665	ENCFF722YGP	mean	CHIP	3xFLAG-HMG20A:HepG2 genetically modified using CRISPR	3xFLAG-HMG20A	TF ChIP-seq	f_1665
1666	ENCFF198UIH	mean	CHIP	eGFP-ZNF76:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF76	TF ChIP-seq	f_1666
1667	ENCFF629RRF	mean	CHIP	ZNF24:GM12878	ZNF24	TF ChIP-seq	f_1667
1668	ENCFF297ZVT	mean	CHIP	H3K36me3:neutrophil male	H3K36me3	Histone ChIP-seq	f_1668
1669	ENCFF711WLJ	mean	CHIP	SAFB:K562	SAFB	TF ChIP-seq	f_1669
1670	ENCFF521BFE	mean	CHIP	H3K36me3:small intestine female adult (30 years)	H3K36me3	Histone ChIP-seq	f_1670
1671	ENCFF983HIO	mean	CHIP	H3K27ac:right cardiac atrium male adult (34 years)	H3K27ac	Histone ChIP-seq	f_1671
1672	ENCFF772SIL	mean	CHIP	H3K4me3:placenta male embryo (16 weeks)	H3K4me3	Histone ChIP-seq	f_1672
1673	ENCFF786YLI	mean	CHIP	CTCF:esophagus muscularis mucosa female adult (53 years)	CTCF	TF ChIP-seq	f_1673
1674	ENCFF292GRD	mean	CHIP	H3K79me2:SK-N-SH	H3K79me2	Histone ChIP-seq	f_1674
1675	ENCFF051KWV	mean	CHIP	eGFP-ZIK1:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZIK1	TF ChIP-seq	f_1675
1676	ENCFF791ZIC	mean	CHIP	ZNF622:GM12878	ZNF622	TF ChIP-seq	f_1676
1677	ENCFF088GRY	mean	CHIP	HDAC2:K562	HDAC2	TF ChIP-seq	f_1677
1678	ENCFF491HAF	mean	CHIP	H3K4me3:foreskin keratinocyte male newborn	H3K4me3	Histone ChIP-seq	f_1678
1679	ENCFF895GSC	mean	CHIP	H3K4me3:muscle layer of duodenum male adult (73 years)	H3K4me3	Histone ChIP-seq	f_1679
1680	ENCFF603RHJ	mean	CHIP	H3K4me1:heart right ventricle male adult (34 years)	H3K4me1	Histone ChIP-seq	f_1680
1681	ENCFF158CYH	mean	CHIP	eGFP-KLF9:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-KLF9	TF ChIP-seq	f_1681
1682	ENCFF149KEA	mean	CHIP	H3K9ac:OCI-LY1	H3K9ac	Histone ChIP-seq	f_1682
1683	ENCFF993HZN	mean	CHIP	eGFP-ZNF280C:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF280C	TF ChIP-seq	f_1683
1684	ENCFF981JSZ	mean	CHIP	H3K27me3:layer of hippocampus male adult (73 years)	H3K27me3	Histone ChIP-seq	f_1684
1685	ENCFF939VMB	mean	CHIP	eGFP-ZBTB44:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZBTB44	TF ChIP-seq	f_1685
1686	ENCFF657DIW	mean	CHIP	RNF2:K562	RNF2	TF ChIP-seq	f_1686
1687	ENCFF900REU	mean	CHIP	CREM:K562	CREM	TF ChIP-seq	f_1687
1688	ENCFF236HUG	mean	CHIP	H3K4me3:CD4-positive, alpha-beta memory T cell	H3K4me3	Histone ChIP-seq	f_1688
1689	ENCFF866QGH	mean	CHIP	H3K36me3:spleen female adult (30 years)	H3K36me3	Histone ChIP-seq	f_1689
1690	ENCFF275XPP	mean	CHIP	H3K36me3:esophagus squamous epithelium female adult (53 years)	H3K36me3	Histone ChIP-seq	f_1690
1691	ENCFF645VAU	mean	CHIP	MCM5:K562	MCM5	TF ChIP-seq	f_1691
1692	ENCFF507JDZ	mean	CHIP	H3K4me3:foreskin fibroblast male newborn	H3K4me3	Histone ChIP-seq	f_1692
1693	ENCFF843EUT	mean	CHIP	eGFP-ZNF639:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF639	TF ChIP-seq	f_1693
1694	ENCFF288IVG	mean	CHIP	H3K36me3:right lobe of liver female adult (53 years)	H3K36me3	Histone ChIP-seq	f_1694
1695	ENCFF574PCV	mean	CHIP	FOXA2:liver female child (4 years)	FOXA2	TF ChIP-seq	f_1695
1696	ENCFF777EGG	mean	CHIP	H3K27me3:CD14-positive monocyte male adult (21 year)	H3K27me3	Histone ChIP-seq	f_1696
1697	ENCFF119EVR	mean	CHIP	H3K18ac:trophoblast cell originated from H1-hESC	H3K18ac	Histone ChIP-seq	f_1697
1698	ENCFF133RYX	mean	CHIP	RAD51:HepG2	RAD51	TF ChIP-seq	f_1698
1699	ENCFF777XEM	mean	CHIP	H3K4me3:NCI-H929	H3K4me3	Histone ChIP-seq	f_1699
1700	ENCFF648TPI	mean	CHIP	H3K27ac:adipose tissue male adult (34 years)	H3K27ac	Histone ChIP-seq	f_1700
1701	ENCFF057OBD	mean	CHIP	H3K9me3:transverse colon male adult (37 years)	H3K9me3	Histone ChIP-seq	f_1701
1702	ENCFF129RUF	mean	CHIP	H3K36me3:thoracic aorta male adult (37 years)	H3K36me3	Histone ChIP-seq	f_1702
1703	ENCFF343CJE	mean	CHIP	H3K36me3:mucosa of stomach male adult (59 years)	H3K36me3	Histone ChIP-seq	f_1703
1704	ENCFF282TMZ	mean	CHIP	H3K36me3:spinal cord female embryo (113 days)	H3K36me3	Histone ChIP-seq	f_1704
1705	ENCFF580RBF	mean	CHIP	H3K36me3:stomach smooth muscle male adult (59 years)	H3K36me3	Histone ChIP-seq	f_1705
1706	ENCFF884IIL	mean	CHIP	CTCF:DOHH2	CTCF	TF ChIP-seq	f_1706
1707	ENCFF302PLG	mean	CHIP	NFXL1:K562	NFXL1	TF ChIP-seq	f_1707
1708	ENCFF064NJL	mean	CHIP	H3K9ac:heart male embryo (105 days)	H3K9ac	Histone ChIP-seq	f_1708
1709	ENCFF816UQX	mean	CHIP	SP1:liver male adult (32 years)	SP1	TF ChIP-seq	f_1709
1710	ENCFF312ZCJ	mean	CHIP	H3K9me3:layer of hippocampus male adult (73 years)	H3K9me3	Histone ChIP-seq	f_1710
1711	ENCFF065RHP	mean	CHIP	NBN:K562	NBN	TF ChIP-seq	f_1711
1712	ENCFF055NYH	mean	CHIP	H3K79me2:Parathyroid adenoma male adult (65 years)	H3K79me2	Histone ChIP-seq	f_1712
1713	ENCFF352FRL	mean	CHIP	KAT8:K562	KAT8	TF ChIP-seq	f_1713
1714	ENCFF154JOJ	mean	CHIP	H3K9me3:heart right ventricle male child (3 years)	H3K9me3	Histone ChIP-seq	f_1714
1715	ENCFF627DBB	mean	CHIP	H3K27ac:spleen female adult (30 years)	H3K27ac	Histone ChIP-seq	f_1715
1716	ENCFF034GQG	mean	CHIP	H3K4me2:MM.1S	H3K4me2	Histone ChIP-seq	f_1716
1717	ENCFF199QXO	mean	CHIP	H3K9ac:skeletal muscle tissue female adult (72 years)	H3K9ac	Histone ChIP-seq	f_1717
1718	ENCFF753WRC	mean	CHIP	3xFLAG-KDM1A:HepG2 genetically modified using CRISPR	3xFLAG-KDM1A	TF ChIP-seq	f_1718
1719	ENCFF721URL	mean	CHIP	H3K4me3:IMR-90	H3K4me3	Histone ChIP-seq	f_1719
1720	ENCFF669GZJ	mean	CHIP	H3K27me3:esophagus male adult (34 years)	H3K27me3	Histone ChIP-seq	f_1720
1721	ENCFF294OXN	mean	CHIP	EZH2phosphoT487:SU-DHL-6	EZH2phosphoT487	TF ChIP-seq	f_1721
1722	ENCFF439FLW	mean	CHIP	EP300:gastroesophageal sphincter female adult (53 years)	EP300	TF ChIP-seq	f_1722
1723	ENCFF304IIJ	mean	CHIP	CTCF:omental fat pad male adult (37 years)	CTCF	TF ChIP-seq	f_1723
1724	ENCFF979SUI	mean	CHIP	H3K4me1:myoepithelial cell of mammary gland female adult (33 years)	H3K4me1	Histone ChIP-seq	f_1724
1725	ENCFF137GVV	mean	CHIP	H3K36me3:foreskin keratinocyte male newborn	H3K36me3	Histone ChIP-seq	f_1725
1726	ENCFF131BZQ	mean	CHIP	HLTF:K562	HLTF	TF ChIP-seq	f_1726
1727	ENCFF431KKT	mean	CHIP	H3K9me3:smooth muscle cell originated from H9	H3K9me3	Histone ChIP-seq	f_1727
1728	ENCFF588JAY	mean	CHIP	SUZ12:HEK293T	SUZ12	TF ChIP-seq	f_1728
1729	ENCFF912GHA	mean	CHIP	SUZ12:GM12878	SUZ12	TF ChIP-seq	f_1729
1730	ENCFF597SVQ	mean	CHIP	POLR2A:gastroesophageal sphincter male adult (54 years)	POLR2A	TF ChIP-seq	f_1730
1731	ENCFF415CUC	mean	CHIP	eGFP-ATF1:K562 genetically modified using stable transfection originated from K562	eGFP-ATF1	TF ChIP-seq	f_1731
1732	ENCFF883YBM	mean	CHIP	HES1:K562	HES1	TF ChIP-seq	f_1732
1733	ENCFF514ZYW	mean	CHIP	H3K36me3:HCT116	H3K36me3	Histone ChIP-seq	f_1733
1734	ENCFF601GYH	mean	CHIP	H3K4me1:T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin	H3K4me1	Histone ChIP-seq	f_1734
1735	ENCFF531VJG	mean	CHIP	3xFLAG-FOXA3:HepG2 genetically modified using CRISPR	3xFLAG-FOXA3	TF ChIP-seq	f_1735
1736	ENCFF543DHU	mean	CHIP	eGFP-CREB3:K562 genetically modified using stable transfection	eGFP-CREB3	TF ChIP-seq	f_1736
1737	ENCFF664AMM	mean	CHIP	eGFP-ZNF16:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF16	TF ChIP-seq	f_1737
1738	ENCFF187IFT	mean	CHIP	H3K9ac:HCT116	H3K9ac	Histone ChIP-seq	f_1738
1739	ENCFF614MKK	mean	CHIP	H3K4me1:brain female embryo (120 days)	H3K4me1	Histone ChIP-seq	f_1739
1740	ENCFF017PMA	mean	CHIP	H3K4me1:MM.1S	H3K4me1	Histone ChIP-seq	f_1740
1741	ENCFF462WGK	mean	CHIP	H3K27ac:adrenal gland male adult (37 years)	H3K27ac	Histone ChIP-seq	f_1741
1742	ENCFF886XRG	mean	CHIP	FOXA1:HEK293T	FOXA1	TF ChIP-seq	f_1742
1743	ENCFF776TQY	mean	CHIP	eGFP-CEBPG:MCF-7 genetically modified using stable transfection	eGFP-CEBPG	TF ChIP-seq	f_1743
1744	ENCFF883NAP	mean	CHIP	H3K27ac:esophagus muscularis mucosa female adult (53 years)	H3K27ac	Histone ChIP-seq	f_1744
1745	ENCFF486AVO	mean	CHIP	H3K4me3:kidney female embryo (120 days)	H3K4me3	Histone ChIP-seq	f_1745
1746	ENCFF487IOR	mean	CHIP	3xFLAG-ETV5:HepG2 genetically modified using CRISPR	3xFLAG-ETV5	TF ChIP-seq	f_1746
1747	ENCFF327JSZ	mean	CHIP	EZH2phosphoT487:GM23248	EZH2phosphoT487	TF ChIP-seq	f_1747
1748	ENCFF742SOT	mean	CHIP	ZNF207:MCF-7	ZNF207	TF ChIP-seq	f_1748
1749	ENCFF899YMS	mean	CHIP	eGFP-ZNF311:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF311	TF ChIP-seq	f_1749
1750	ENCFF670PUL	mean	CHIP	POLR2A:gastroesophageal sphincter female adult (53 years)	POLR2A	TF ChIP-seq	f_1750
1751	ENCFF224OLU	mean	CHIP	H3K9ac:ES-I3	H3K9ac	Histone ChIP-seq	f_1751
1752	ENCFF462HVU	mean	CHIP	H3K4me3:chorionic villus male embryo (16 weeks)	H3K4me3	Histone ChIP-seq	f_1752
1753	ENCFF717QXO	mean	CHIP	H3K4me3:naive thymus-derived CD4-positive, alpha-beta T cell	H3K4me3	Histone ChIP-seq	f_1753
1754	ENCFF586QFS	mean	CHIP	RXRA:liver male adult (32 years)	RXRA	TF ChIP-seq	f_1754
1755	ENCFF418IUK	mean	CHIP	H3K4me1:stomach female embryo (96 days)	H3K4me1	Histone ChIP-seq	f_1755
1756	ENCFF284YVG	mean	CHIP	eGFP-PRDM1:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-PRDM1	TF ChIP-seq	f_1756
1757	ENCFF042QGF	mean	CHIP	ZNF24:K562	ZNF24	TF ChIP-seq	f_1757
1758	ENCFF197WCC	mean	CHIP	H3K9ac:skeletal muscle satellite cell female adult originated from mesodermal cell	H3K9ac	Histone ChIP-seq	f_1758
1759	ENCFF369UBB	mean	CHIP	H3K36me3:mesodermal cell originated from HUES64	H3K36me3	Histone ChIP-seq	f_1759
1760	ENCFF438RHT	mean	CHIP	H3K4me3:kidney male adult (50 years)	H3K4me3	Histone ChIP-seq	f_1760
1761	ENCFF360BPK	mean	CHIP	H3K27me3:iPS DF 19.11 male newborn	H3K27me3	Histone ChIP-seq	f_1761
1762	ENCFF448WRF	mean	CHIP	H3K4me1:neurosphere female embryo (17 weeks) originated from cortex	H3K4me1	Histone ChIP-seq	f_1762
1763	ENCFF414ANN	mean	CHIP	TAF9B:K562	TAF9B	TF ChIP-seq	f_1763
1764	ENCFF307BSP	mean	CHIP	H3K36me3:lung female embryo (96 days)	H3K36me3	Histone ChIP-seq	f_1764
1765	ENCFF494KSM	mean	CHIP	H3K36me3:transverse colon male adult (54 years)	H3K36me3	Histone ChIP-seq	f_1765
1766	ENCFF933FCB	mean	CHIP	TBL1XR1:HepG2	TBL1XR1	TF ChIP-seq	f_1766
1767	ENCFF389WJM	mean	CHIP	ZNF384:HepG2	ZNF384	TF ChIP-seq	f_1767
1768	ENCFF417EIW	mean	CHIP	H3K36me3:gastrocnemius medialis female adult (53 years)	H3K36me3	Histone ChIP-seq	f_1768
1769	ENCFF653KIU	mean	CHIP	CTCF:transverse colon male adult (37 years)	CTCF	TF ChIP-seq	f_1769
1770	ENCFF152NWJ	mean	CHIP	ZMYM3:K562	ZMYM3	TF ChIP-seq	f_1770
1771	ENCFF510GVZ	mean	CHIP	eGFP-ZNF175:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF175	TF ChIP-seq	f_1771
1772	ENCFF499VWN	mean	CHIP	H3K27me3:CD8-positive, alpha-beta T cell male adult (37 years)	H3K27me3	Histone ChIP-seq	f_1772
1773	ENCFF823NMC	mean	CHIP	H3K4me3:neurosphere embryo (15 weeks) originated from ganglionic eminence	H3K4me3	Histone ChIP-seq	f_1773
1774	ENCFF573NUO	mean	CHIP	H3K27me3:ascending aorta female adult (51 year)	H3K27me3	Histone ChIP-seq	f_1774
1775	ENCFF752PDZ	mean	CHIP	TFAP4:HepG2	TFAP4	TF ChIP-seq	f_1775
1776	ENCFF898ZTX	mean	CHIP	POLR2A:gastrocnemius medialis female adult (53 years)	POLR2A	TF ChIP-seq	f_1776
1777	ENCFF217USF	mean	CHIP	H3K9me3:radial glial cell genetically modified using stable transfection originated from H9	H3K9me3	Histone ChIP-seq	f_1777
1778	ENCFF810HHZ	mean	CHIP	H3K27ac:peripheral blood mononuclear cell male adult (39 years)	H3K27ac	Histone ChIP-seq	f_1778
1779	ENCFF903ZFE	mean	CHIP	H3K9ac:neural progenitor cell originated from H9	H3K9ac	Histone ChIP-seq	f_1779
1780	ENCFF615TSW	mean	CHIP	H3K9me3:spleen female adult (53 years)	H3K9me3	Histone ChIP-seq	f_1780
1781	ENCFF974AEG	mean	CHIP	H3K36me3:gastrocnemius medialis male adult (54 years)	H3K36me3	Histone ChIP-seq	f_1781
1782	ENCFF581ZXS	mean	CHIP	eGFP-ZNF366:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF366	TF ChIP-seq	f_1782
1783	ENCFF019EEM	mean	CHIP	TAL1:K562	TAL1	TF ChIP-seq	f_1783
1784	ENCFF961GMN	mean	CHIP	H3K4me2:Parathyroid adenoma male adult (62 years)	H3K4me2	Histone ChIP-seq	f_1784
1785	ENCFF795RWB	mean	CHIP	POLR2A:transverse colon female adult (53 years)	POLR2A	TF ChIP-seq	f_1785
1786	ENCFF720MIG	mean	CHIP	MLLT1:K562	MLLT1	TF ChIP-seq	f_1786
1787	ENCFF069RMH	mean	CHIP	H3K4me3:heart right ventricle male child (3 years)	H3K4me3	Histone ChIP-seq	f_1787
1788	ENCFF454AJP	mean	CHIP	YBX1:K562	YBX1	TF ChIP-seq	f_1788
1789	ENCFF421TPV	mean	CHIP	H3K27ac:foreskin fibroblast male newborn	H3K27ac	Histone ChIP-seq	f_1789
1790	ENCFF308CRA	mean	CHIP	3xFLAG-GATAD1:HepG2 genetically modified using CRISPR	3xFLAG-GATAD1	TF ChIP-seq	f_1790
1791	ENCFF285IPK	mean	CHIP	H3K9me3:caudate nucleus male adult (81 year)	H3K9me3	Histone ChIP-seq	f_1791
1792	ENCFF031HSG	mean	CHIP	HES1:MCF-7	HES1	TF ChIP-seq	f_1792
1793	ENCFF341OYD	mean	CHIP	H3K27me3:heart left ventricle male child (3 years)	H3K27me3	Histone ChIP-seq	f_1793
1794	ENCFF347RWX	mean	CHIP	CREB3L1:K562	CREB3L1	TF ChIP-seq	f_1794
1795	ENCFF138TTW	mean	CHIP	H3K27me3:subcutaneous abdominal adipose tissue nuclear fraction female adult (25 years)	H3K27me3	Histone ChIP-seq	f_1795
1796	ENCFF324TEB	mean	CHIP	H3K27me3:lung female embryo (120 days)	H3K27me3	Histone ChIP-seq	f_1796
1797	ENCFF383GNY	mean	CHIP	H3K4me1:liver male adult (31 year)	H3K4me1	Histone ChIP-seq	f_1797
1798	ENCFF669NEV	mean	CHIP	H3K9ac:SK-N-MC	H3K9ac	Histone ChIP-seq	f_1798
1799	ENCFF024TKA	mean	CHIP	H3K9me3:endocrine pancreas adult (59 years)	H3K9me3	Histone ChIP-seq	f_1799
1800	ENCFF928JXF	mean	CHIP	H3K4me1:heart left ventricle male adult (34 years)	H3K4me1	Histone ChIP-seq	f_1800
1801	ENCFF853TTW	mean	CHIP	CREB1:HepG2	CREB1	TF ChIP-seq	f_1801
1802	ENCFF779GAL	mean	CHIP	HNRNPLL:K562	HNRNPLL	TF ChIP-seq	f_1802
1803	ENCFF217VXB	mean	CHIP	H3K4me1:ovary female adult (30 years)	H3K4me1	Histone ChIP-seq	f_1803
1804	ENCFF642OLV	mean	CHIP	EZH2:SK-N-MC	EZH2	TF ChIP-seq	f_1804
1805	ENCFF113RTQ	mean	CHIP	MTA2:K562	MTA2	TF ChIP-seq	f_1805
1806	ENCFF914CIK	mean	CHIP	H3K27me3:mid-neurogenesis radial glial cells genetically modified using stable transfection originated from H9	H3K27me3	Histone ChIP-seq	f_1806
1807	ENCFF798TPW	mean	CHIP	H3K27me3:luminal epithelial cell of mammary gland female adult (33 years)	H3K27me3	Histone ChIP-seq	f_1807
1808	ENCFF960LHQ	mean	CHIP	H3K36me3:temporal lobe male adult (81 year)	H3K36me3	Histone ChIP-seq	f_1808
1809	ENCFF471NDH	mean	CHIP	H3K9ac:SU-DHL-6	H3K9ac	Histone ChIP-seq	f_1809
1810	ENCFF129ETR	mean	CHIP	ASH1L:K562	ASH1L	TF ChIP-seq	f_1810
1811	ENCFF831LSX	mean	CHIP	KDM1A:HepG2	KDM1A	TF ChIP-seq	f_1811
1812	ENCFF593GVE	mean	CHIP	H3K4me1:foreskin keratinocyte male newborn	H3K4me1	Histone ChIP-seq	f_1812
1813	ENCFF601TLP	mean	CHIP	H3K9me3:T-cell male adult (21 year)	H3K9me3	Histone ChIP-seq	f_1813
1814	ENCFF887OHO	mean	CHIP	3xFLAG-MIER2:HepG2 genetically modified using CRISPR	3xFLAG-MIER2	TF ChIP-seq	f_1814
1815	ENCFF720XZQ	mean	CHIP	H3K4ac:mesenchymal stem cell originated from H1-hESC	H3K4ac	Histone ChIP-seq	f_1815
1816	ENCFF229VFD	mean	CHIP	PKNOX1:K562	PKNOX1	TF ChIP-seq	f_1816
1817	ENCFF939SGH	mean	CHIP	H3K4me1:spleen female adult (30 years)	H3K4me1	Histone ChIP-seq	f_1817
1818	ENCFF783NGV	mean	CHIP	H3K4me1:adipocyte originated from mesenchymal stem cell	H3K4me1	Histone ChIP-seq	f_1818
1819	ENCFF819TJP	mean	CHIP	CSDE1:MCF-7	CSDE1	TF ChIP-seq	f_1819
